&{Gid:61691 Gname:M4A4 | 合纵 (略有磨损) CnyPrice:427.77}
&{Gid:102894 Gname:印花 | juanflatroo（金色） | 2022年里约热内卢锦标赛 CnyPrice:28.00}
&{Gid:10498 Gname:法玛斯（StatTrak™） | 神经网 (久经沙场) CnyPrice:13.77}
&{Gid:46567 Gname:穿肠刀（★） | 大马士革钢 (久经沙场) CnyPrice:565.00}
&{Gid:46606 Gname:加利尔 AR（纪念品） | 地狱看门犬 (略有磨损) CnyPrice:419.50}
&{Gid:61375 Gname:骷髅匕首（★ StatTrak™） | 蓝钢 (略有磨损) CnyPrice:3400.00}
&{Gid:52030 Gname:弯刀（★） | 枯焦之色 (破损不堪) CnyPrice:540.00}
&{Gid:52292 Gname:系绳匕首（★） | 北方森林 (战痕累累) CnyPrice:577.00}
&{Gid:51477 Gname:XM1014 | 寒霜锁链 (略有磨损) CnyPrice:375.00}
&{Gid:45371 Gname:SSG 08（StatTrak™） | 无尽深海 (崭新出厂) CnyPrice:60.00}
&{Gid:58394 Gname:熊刀（★ StatTrak™） | 都市伪装 (略有磨损) CnyPrice:950.00}
&{Gid:100341 Gname:印花 | Gambit Gaming （金色） | 2021年斯德哥尔摩锦标赛 CnyPrice:45.00}
&{Gid:52133 Gname:弯刀（★） | 虎牙 (略有磨损) CnyPrice:1144.50}
&{Gid:55541 Gname:流浪者匕首（★） | 狩猎网格 (破损不堪) CnyPrice:833.00}
&{Gid:100449 Gname:USP 消音版（纪念品） | 紫色 DDPAT (战痕累累) CnyPrice:13.00}
&{Gid:45891 Gname:M4A4（StatTrak™） | 狮鹫 (久经沙场) CnyPrice:25.99}
&{Gid:101849 Gname:印花 | b1t（全息） | 2022年安特卫普锦标赛 CnyPrice:25.00}
&{Gid:102144 Gname:印花 | dupreeh（金色） | 2022年安特卫普锦标赛 CnyPrice:26.50}
&{Gid:55330 Gname:P90（StatTrak™） | 二西莫夫 (破损不堪) CnyPrice:98.00}
&{Gid:50974 Gname:印花 | niko | 2018年伦敦锦标赛 CnyPrice:65.00}
&{Gid:55689 Gname:印花 | Aerial（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:11.00}
&{Gid:57573 Gname:M4A1 消音型（StatTrak™） | 翼蜥 (战痕累累) CnyPrice:115.00}
&{Gid:48031 Gname:截短霰弹枪 | 灌木丛 (久经沙场) CnyPrice:14.11}
&{Gid:57178 Gname:印花 | buster（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:18.00}
&{Gid:48112 Gname:印花 | Zeus | 2017年克拉科夫锦标赛 CnyPrice:14.00}
&{Gid:51348 Gname:印花 | CeRq（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:15.00}
&{Gid:52830 Gname:印花 | Brehze（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:13.50}
&{Gid:61108 Gname:锯齿爪刀（★ StatTrak™） | 枯焦之色 (战痕累累) CnyPrice:1900.00}
&{Gid:52409 Gname:SG 553 | 威吓者 (崭新出厂) CnyPrice:429.00}
&{Gid:9008 Gname:印花 | s1mple（闪亮）| 2019年柏林锦标赛 CnyPrice:11.30}
&{Gid:100431 Gname:USP 消音版（纪念品） | 橙红安乐蜥 (略有磨损) CnyPrice:60.00}
&{Gid:46000 Gname:印花 | 大家动起来（闪亮） CnyPrice:12.88}
&{Gid:56593 Gname:爪子刀（★ StatTrak™） | 森林 DDPAT (久经沙场) CnyPrice:2520.00}
&{Gid:51875 Gname:印花 | seang@res | 2018年波士顿锦标赛 CnyPrice:330.00}
&{Gid:54949 Gname:印花 | Ethan（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:15.00}
&{Gid:53816 Gname:XM1014（StatTrak™） | 要抱抱 (久经沙场) CnyPrice:19.80}
&{Gid:3525 Gname:USP 消音版（StatTrak™） | 血虎 (略有磨损) CnyPrice:19.79}
&{Gid:49035 Gname:印花 | byali | 2017年克拉科夫锦标赛 CnyPrice:13.20}
&{Gid:46866 Gname:印花 | TaZ | 2017年克拉科夫锦标赛 CnyPrice:12.00}
&{Gid:2337 Gname:印花 | s1mple | 2018年伦敦锦标赛 CnyPrice:18.80}
&{Gid:55600 Gname:印花 | PENTA Sports | 2015年卡托维兹锦标赛 CnyPrice:46.66}
&{Gid:50536 Gname:印花 | Natus Vincere（闪亮）| 2015年科隆锦标赛 CnyPrice:52.00}
&{Gid:13179 Gname:音乐盒 | Kelly Bailey - 有害物质环境 CnyPrice:31.88}
&{Gid:50516 Gname:P90（纪念品） | 冰川网格 (久经沙场) CnyPrice:12.00}
&{Gid:51458 Gname:SSG 08（StatTrak™） | 炎龙之焰 (略有磨损) CnyPrice:260.00}
&{Gid:44195 Gname:折叠刀（★） | 外表生锈 (破损不堪) CnyPrice:950.00}
&{Gid:48413 Gname:PP-野牛（StatTrak™） | 核燃料棒 (略有磨损) CnyPrice:31.00}
&{Gid:61677 Gname:AWP | 复古流行 (破损不堪) CnyPrice:13.00}
&{Gid:100532 Gname:加利尔 AR（纪念品） | 废墟黄昏 (略有磨损) CnyPrice:18.88}
&{Gid:1215 Gname:沙漠之鹰 | 噩梦之夜 (久经沙场) CnyPrice:28.00}
&{Gid:57805 Gname:熊刀（★ StatTrak™） | 大马士革钢 (略有磨损) CnyPrice:1035.00}
&{Gid:60223 Gname:穿肠刀（★ StatTrak™） | 大马士革钢 (崭新出厂) CnyPrice:900.00}
&{Gid:54502 Gname:印花 | Magisk（闪亮）| 2017年克拉科夫锦标赛 CnyPrice:289.00}
&{Gid:1107 Gname:印花 | SK Gaming | 2017年克拉科夫锦标赛 CnyPrice:10.00}
&{Gid:53004 Gname:爪子刀（★ StatTrak™） | 都市伪装 (久经沙场) CnyPrice:2610.00}
&{Gid:60591 Gname:爪子刀（★ StatTrak™） | 致命紫罗兰 (略有磨损) CnyPrice:4225.00}
&{Gid:2742 Gname:PP-野牛（StatTrak™） | 阿努比斯之审判 (久经沙场) CnyPrice:79.50}
&{Gid:49267 Gname:USP 消音版 | 商业皮革 (略有磨损) CnyPrice:148.88}
&{Gid:13176 Gname:MAG-7（StatTrak™） | 北冥有鱼 (略有磨损) CnyPrice:12.05}
&{Gid:51927 Gname:SSG 08 | 喋血战士 (略有磨损) CnyPrice:216.00}
&{Gid:43400 Gname:法玛斯 | 电子脉冲 (略有磨损) CnyPrice:37.00}
&{Gid:57098 Gname:M4A1 消音型（StatTrak™） | 女火神之炽焰 (战痕累累) CnyPrice:216.00}
&{Gid:100549 Gname:M4A1 消音型（纪念品） | 冒险家乐园 (战痕累累) CnyPrice:3600.00}
&{Gid:51871 Gname:流浪者匕首（★） | 狩猎网格 (战痕累累) CnyPrice:830.00}
&{Gid:48846 Gname:印花 | suNny | 2017年克拉科夫锦标赛 CnyPrice:16.00}
&{Gid:49204 Gname:AUG | 秋叶原之选 (破损不堪) CnyPrice:2150.00}
&{Gid:28500 Gname:AK-47（StatTrak™） | 复古浪潮 (久经沙场) CnyPrice:53.80}
&{Gid:166 Gname:穿肠刀（★） | 外表生锈 (破损不堪) CnyPrice:565.00}
&{Gid:519 Gname:印花 | 小心手雷！(全息) CnyPrice:16.59}
&{Gid:61380 Gname:音乐盒（StatTrak™） | Jesse Harlin - 战火星空 CnyPrice:17.00}
&{Gid:46264 Gname:法玛斯（StatTrak™） | 纪念碑 (略有磨损) CnyPrice:219.00}
&{Gid:810 Gname:沙漠之鹰（StatTrak™） | 蓝色层压板 (崭新出厂) CnyPrice:30.50}
&{Gid:103028 Gname:印花 | sjuush（金色）| 2022年里约热内卢锦标赛 CnyPrice:49.00}
&{Gid:51292 Gname:法玛斯 | 残影 (略有磨损) CnyPrice:205.00}
&{Gid:101290 Gname:印花 | JACKZ（金色）| 2021年斯德哥尔摩锦标赛 CnyPrice:40.00}
&{Gid:53759 Gname:沙漠之鹰 | 日落风暴 弐 (略有磨损) CnyPrice:1300.00}
&{Gid:57568 Gname:刺刀（★） | 蓝钢 (崭新出厂) CnyPrice:3000.00}
&{Gid:53642 Gname:刺刀（★） | 都市伪装 (破损不堪) CnyPrice:1299.00}
&{Gid:61594 Gname:M249 | 雪茄盒 (崭新出厂) CnyPrice:34.00}
&{Gid:52202 Gname:熊刀（★ StatTrak™） | 深红之网 (久经沙场) CnyPrice:1730.00}
&{Gid:54679 Gname:M4A4（StatTrak™） | 二西莫夫 (破损不堪) CnyPrice:1550.00}
&{Gid:2563 Gname:MP9（StatTrak™） | 九头蛇 (崭新出厂) CnyPrice:185.00}
&{Gid:51121 Gname:暗影双匕（★） | 噩梦之夜 (久经沙场) CnyPrice:451.00}
&{Gid:54205 Gname:P90 | 精雕木刻 (崭新出厂) CnyPrice:57.00}
&{Gid:52014 Gname:MP7（StatTrak™） | 复仇者 (崭新出厂) CnyPrice:188.00}
&{Gid:54730 Gname:印花 | Natus Vincere（全息）| 2015年卡托维兹锦标赛 CnyPrice:2450.00}
&{Gid:51932 Gname:M9 刺刀（★） | 枯焦之色 (破损不堪) CnyPrice:2120.00}
&{Gid:47379 Gname:PP-野牛 | 墨竹 (崭新出厂) CnyPrice:30.00}
&{Gid:60536 Gname:刺刀（★ StatTrak™） | 北方森林 (久经沙场) CnyPrice:1310.00}
&{Gid:102137 Gname:印花 | Twistzz（金色） | 2022年安特卫普锦标赛 CnyPrice:171.00}
&{Gid:53480 Gname:P250 | 超新星 (破损不堪) CnyPrice:10.00}
&{Gid:53338 Gname:MAG-7（StatTrak™） | 正义 (破损不堪) CnyPrice:19.79}
&{Gid:52031 Gname:AWP（StatTrak™） | 暴怒野兽 (破损不堪) CnyPrice:280.00}
&{Gid:46539 Gname:加利尔 AR | ~甜甜的~ (久经沙场) CnyPrice:223.00}
&{Gid:53107 Gname:AK-47（StatTrak™） | 霓虹革命 (略有磨损) CnyPrice:295.00}
&{Gid:103024 Gname:印花 | CeRq（金色）| 2022年里约热内卢锦标赛 CnyPrice:21.00}
&{Gid:1251 Gname:MP9（StatTrak™） | 红宝石毒镖 (久经沙场) CnyPrice:12.00}
&{Gid:102006 Gname:印花 | ropz（全息） | 2022年安特卫普锦标赛 CnyPrice:39.00}
&{Gid:46207 Gname:PP-野牛（纪念品） | 碳素纤维 (略有磨损) CnyPrice:20.00}
&{Gid:58346 Gname:折叠刀（★ StatTrak™） | 大马士革钢 (略有磨损) CnyPrice:1270.00}
&{Gid:51382 Gname:AWP | 粉红 DDPAT (战痕累累) CnyPrice:125.00}
&{Gid:46349 Gname:XM1014 | 芭蕉叶 (崭新出厂) CnyPrice:70.00}
&{Gid:53686 Gname:M4A1 消音型 | 控制台 (战痕累累) CnyPrice:55.00}
&{Gid:2119 Gname:内格夫（纪念品） | 舱壁 (略有磨损) CnyPrice:10.88}
&{Gid:54464 Gname:沙漠之鹰 | 飞行员 (破损不堪) CnyPrice:260.00}
&{Gid:54498 Gname:印花 | f0rest | 2016年 MLG 哥伦布锦标赛 CnyPrice:10.00}
&{Gid:44516 Gname:AK-47（StatTrak™） | 迷踪秘境 (久经沙场) CnyPrice:15.00}
&{Gid:49019 Gname:新星 | 胡桃木 (略有磨损) CnyPrice:12.00}
&{Gid:100463 Gname:FN57（纪念品） | 坠落危险 (略有磨损) CnyPrice:420.00}
&{Gid:48361 Gname:印花 | aizy（闪亮）| 2017年克拉科夫锦标赛 CnyPrice:220.00}
&{Gid:37146 Gname:UMP-45 | 金铋辉煌 (久经沙场) CnyPrice:11.00}
&{Gid:57190 Gname:穿肠刀（★） | 人工染色 (略有磨损) CnyPrice:550.00}
&{Gid:54950 Gname:印花 | DickStacy | 2019年卡托维兹锦标赛 CnyPrice:67.00}
&{Gid:50105 Gname:Tec-9 | 剪纸 (崭新出厂) CnyPrice:39.00}
&{Gid:48753 Gname:AUG（StatTrak™） | 湖怪鸟 (破损不堪) CnyPrice:15.00}
&{Gid:2371 Gname:UMP-45（StatTrak™） | 动量 (略有磨损) CnyPrice:60.00}
&{Gid:53445 Gname:Tec-9（StatTrak™） | 屠杀者 (崭新出厂) CnyPrice:500.00}
&{Gid:52130 Gname:印花 | Lekr0（闪亮）| 2018年波士顿锦标赛 CnyPrice:280.00}
&{Gid:52579 Gname:MAC-10 | 渐变琥珀 (崭新出厂) CnyPrice:78.00}
&{Gid:50975 Gname:印花 | device | 2018年伦敦锦标赛 CnyPrice:24.00}
&{Gid:14612 Gname:PP-野牛（纪念品） | 化工之绿 (崭新出厂) CnyPrice:129.00}
&{Gid:43746 Gname:SSG 08 | 手刹 (崭新出厂) CnyPrice:12.49}
&{Gid:51116 Gname:加利尔 AR（StatTrak™） | 冷石 (战痕累累) CnyPrice:13.00}
&{Gid:102190 Gname:印花 | chelo（金色） | 2022年安特卫普锦标赛 CnyPrice:16.00}
&{Gid:100336 Gname:印花 | Natus Vincere （全息） | 2021年斯德哥尔摩锦标赛 CnyPrice:14.10}
&{Gid:44518 Gname:音乐盒（StatTrak™） | Feed Me - 如日中天 CnyPrice:38.00}
&{Gid:48918 Gname:FN57 | 三位一体 (崭新出厂) CnyPrice:16.60}
&{Gid:45797 Gname:MP9（StatTrak™） | 焦油缠绕 (崭新出厂) CnyPrice:18.50}
&{Gid:47335 Gname:格洛克 18 型（StatTrak™） | 荒野反叛 (崭新出厂) CnyPrice:170.00}
&{Gid:60506 Gname:刺刀（★ StatTrak™） | 狩猎网格 (略有磨损) CnyPrice:1488.00}
&{Gid:47862 Gname:USP 消音版 | 凯门鳄 (崭新出厂) CnyPrice:295.00}
&{Gid:56329 Gname:穿肠刀（★ StatTrak™） | 黑色层压板 (战痕累累) CnyPrice:800.00}
&{Gid:103025 Gname:印花 | electronic（金色）| 2022年里约热内卢锦标赛 CnyPrice:75.00}
&{Gid:5582 Gname:刺刀（★ StatTrak™） | 自由之手 (崭新出厂) CnyPrice:2566.00}
&{Gid:52512 Gname:AWP（纪念品） | 粉红 DDPAT (破损不堪) CnyPrice:233.00}
&{Gid:61373 Gname:骷髅匕首（★ StatTrak™） | 都市伪装 (战痕累累) CnyPrice:2000.00}
&{Gid:57286 Gname:双持贝瑞塔（StatTrak™） | 毒蛇袭击 (崭新出厂) CnyPrice:499.00}
&{Gid:57253 Gname:猎杀者匕首（★） | 北方森林 (久经沙场) CnyPrice:650.00}
&{Gid:45189 Gname:弯刀（★） | 森林 DDPAT (久经沙场) CnyPrice:549.80}
&{Gid:51124 Gname:AUG（StatTrak™） | 席德.米德 (战痕累累) CnyPrice:19.90}
&{Gid:61681 Gname:CZ75 | 辛迪加 (略有磨损) CnyPrice:11.50}
&{Gid:61666 Gname:法玛斯 | 加州迷彩 (战痕累累) CnyPrice:10.00}
&{Gid:56697 Gname:锯齿爪刀（★） | 蓝钢 (崭新出厂) CnyPrice:3000.00}
&{Gid:102146 Gname:印花 | Boombl4（金色） | 2022年安特卫普锦标赛 CnyPrice:49.99}
&{Gid:53330 Gname:熊刀（★ StatTrak™） | 屠夫 (崭新出厂) CnyPrice:2215.00}
&{Gid:55084 Gname:穿肠刀（★） | 屠夫 (崭新出厂) CnyPrice:835.00}
&{Gid:55959 Gname:新星（StatTrak™） | 石墨黑 (略有磨损) CnyPrice:85.00}
&{Gid:61124 Gname:海豹短刀（★） | 枯焦之色 (崭新出厂) CnyPrice:3800.00}
&{Gid:2423 Gname:UMP-45 | 紫青之色 (略有磨损) CnyPrice:18.00}
&{Gid:2266 Gname:P250 | 日式薄荷涂装 (略有磨损) CnyPrice:19.00}
&{Gid:51373 Gname:印花 | Flipsid3 Tactics（闪亮）| 2016年科隆锦标赛 CnyPrice:200.00}
&{Gid:57213 Gname:骷髅匕首（★ StatTrak™） | 人工染色 (战痕累累) CnyPrice:2060.00}
&{Gid:55434 Gname:M4A4（StatTrak™） | 星级 (崭新出厂) CnyPrice:788.00}
&{Gid:100343 Gname:印花 | FURIA （金色） | 2021年斯德哥尔摩锦标赛 CnyPrice:73.50}
&{Gid:54404 Gname:弯刀（★） | 噩梦之夜 (略有磨损) CnyPrice:770.00}
&{Gid:43724 Gname:P250（StatTrak™） | 翼击 (久经沙场) CnyPrice:18.00}
&{Gid:103046 Gname:印花 | ropz（金色）| 2022年里约热内卢锦标赛 CnyPrice:130.00}
&{Gid:49024 Gname:法玛斯 | 黑水 (略有磨损) CnyPrice:45.67}
&{Gid:57505 Gname:鲍伊猎刀（★） | 蓝钢 (略有磨损) CnyPrice:830.00}
&{Gid:45349 Gname:AWP | 精英之作 (破损不堪) CnyPrice:65.00}
&{Gid:49010 Gname:CZ75（StatTrak™） | 蓝巢 (崭新出厂) CnyPrice:68.88}
&{Gid:62256 Gname:战术大师音乐盒集 CnyPrice:29.50}
&{Gid:46560 Gname:AUG（纪念品） | 辐射危机 (略有磨损) CnyPrice:24.00}
&{Gid:48664 Gname:Tec-9（StatTrak™） | 战火重燃 (崭新出厂) CnyPrice:19.80}
&{Gid:48561 Gname:法玛斯（StatTrak™） | 保护色 (崭新出厂) CnyPrice:11.90}
&{Gid:53878 Gname:M9 刺刀（★） | 大马士革钢 (战痕累累) CnyPrice:2770.00}
&{Gid:54400 Gname:P2000 | 红色碎片迷彩 (崭新出厂) CnyPrice:12.00}
&{Gid:50089 Gname:USP 消音版 | 远古幻想 (崭新出厂) CnyPrice:190.00}
&{Gid:13136 Gname:P250 | 孟加拉猛虎 (久经沙场) CnyPrice:28.00}
&{Gid:49794 Gname:M4A4 | 狂哮飓风 (略有磨损) CnyPrice:26.00}
&{Gid:51359 Gname:Tec-9（纪念品） | 核子剧毒 (略有磨损) CnyPrice:103.00}
&{Gid:102910 Gname:印花 | Imperial Esports（金色）| 2022年里约热内卢锦标赛 CnyPrice:44.00}
&{Gid:102099 Gname:印花 | broky（金色） | 2022年安特卫普锦标赛 CnyPrice:68.88}
&{Gid:45179 Gname:PP-野牛（StatTrak™） | 透光区 (略有磨损) CnyPrice:12.99}
&{Gid:49562 Gname:SSG 08（StatTrak™） | 炎龙之焰 (崭新出厂) CnyPrice:396.29}
&{Gid:43354 Gname:SCAR-20 | 大宪章 (崭新出厂) CnyPrice:30.00}
&{Gid:45666 Gname:SG 553 | 大马士革钢 (崭新出厂) CnyPrice:13.00}
&{Gid:48215 Gname:MAC-10 | 金砖 (久经沙场) CnyPrice:170.00}
&{Gid:57774 Gname:刺刀（★ StatTrak™） | 传说 (战痕累累) CnyPrice:2200.00}
&{Gid:55417 Gname:印花 | sdy（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:39.50}
&{Gid:102386 Gname:R8 左轮手枪（StatTrak™） | 疯狂老八 (略有磨损) CnyPrice:22.98}
&{Gid:56778 Gname:锯齿爪刀（★） | 人工染色 (崭新出厂) CnyPrice:2590.00}
&{Gid:48142 Gname:AK-47（StatTrak™） | 前线迷雾 (崭新出厂) CnyPrice:699.00}
&{Gid:49462 Gname:USP 消音版（StatTrak™） | 血虎 (久经沙场) CnyPrice:18.00}
&{Gid:56493 Gname:MP5-SD（纪念品） | 协处理器 (崭新出厂) CnyPrice:18.00}
&{Gid:51843 Gname:P2000（StatTrak™） | 红色碎片迷彩 (崭新出厂) CnyPrice:23.00}
&{Gid:14622 Gname:M4A1 消音型（StatTrak™） | 闪回 (破损不堪) CnyPrice:24.00}
&{Gid:52736 Gname:M4A4（纪念品） | 狂哮飓风 (破损不堪) CnyPrice:35.00}
&{Gid:2158 Gname:P90（StatTrak™） | 夺命器 (略有磨损) CnyPrice:20.00}
&{Gid:103094 Gname:印花 | syrsoN（金色）| 2022年里约热内卢锦标赛 CnyPrice:99.00}
&{Gid:46068 Gname:印花 | Boombl4（金色）| 2019年柏林锦标赛 CnyPrice:37.00}
&{Gid:53755 Gname:M4A1 消音型 | 次时代 (破损不堪) CnyPrice:99.00}
&{Gid:53202 Gname:SSG 08 | 巨铁 (破损不堪) CnyPrice:50.00}
&{Gid:54829 Gname:P2000（纪念品） | 渐变琥珀 (久经沙场) CnyPrice:50.00}
&{Gid:100459 Gname:USP 消音版（纪念品） | 远古幻想 (略有磨损) CnyPrice:50.00}
&{Gid:50132 Gname:P2000 | 林间猎者 (久经沙场) CnyPrice:50.00}
&{Gid:48588 Gname:蝴蝶刀（★ StatTrak™） | 枯焦之色 (久经沙场) CnyPrice:3480.00}
&{Gid:5412 Gname:MP9（StatTrak™） | 红宝石毒镖 (略有磨损) CnyPrice:19.00}
&{Gid:44036 Gname:SCAR-20（StatTrak™） | 执行者 (崭新出厂) CnyPrice:35.00}
&{Gid:45993 Gname:AWP | 浮生如梦 (战痕累累) CnyPrice:44.00}
&{Gid:44253 Gname:沙漠之鹰（StatTrak™） | 轻轨 (久经沙场) CnyPrice:18.80}
&{Gid:61426 Gname:FN57（StatTrak™） | 同步力场 (略有磨损) CnyPrice:29.00}
&{Gid:56871 Gname:刺刀（★ StatTrak™） | 渐变大理石 (崭新出厂) CnyPrice:3780.00}
&{Gid:51615 Gname:系绳匕首（★ StatTrak™） | 渐变之色 (崭新出厂) CnyPrice:3100.00}
&{Gid:821 Gname:FN57 | 铜色星系 (崭新出厂) CnyPrice:43.00}
&{Gid:62085 Gname:鲍伊猎刀（★ StatTrak™） | 澄澈之水 (崭新出厂) CnyPrice:892.00}
&{Gid:61869 Gname:MP7 | 掠夺者 (战痕累累) CnyPrice:20.00}
&{Gid:51872 Gname:新星（StatTrak™） | 暴怒野兽 (久经沙场) CnyPrice:133.00}
&{Gid:100623 Gname:MP5-SD（纪念品） | 幻化绿洲 (崭新出厂) CnyPrice:204.00}
&{Gid:53910 Gname:AUG（StatTrak™） | 席德.米德 (崭新出厂) CnyPrice:120.00}
&{Gid:58200 Gname:刺刀（★ StatTrak™） | 黑色层压板 (略有磨损) CnyPrice:2100.00}
&{Gid:43671 Gname:Tec-9 | 遥控 (破损不堪) CnyPrice:20.00}
&{Gid:47350 Gname:印花 | FURIA（全息）| 2019年卡托维兹锦标赛 CnyPrice:128.00}
&{Gid:34832 Gname:M4A4 | 全球攻势 (久经沙场) CnyPrice:28.00}
&{Gid:45752 Gname:USP 消音版 | 血清 (崭新出厂) CnyPrice:315.00}
&{Gid:61988 Gname:猎杀者匕首（★ StatTrak™） | 自动化 (略有磨损) CnyPrice:1278.00}
&{Gid:43725 Gname:MAC-10（纪念品） | 渐变琥珀 (略有磨损) CnyPrice:71.00}
&{Gid:100344 Gname:印花 | Natus Vincere （金色） | 2021年斯德哥尔摩锦标赛 CnyPrice:79.00}
&{Gid:56759 Gname:系绳匕首（★ StatTrak™） | 屠夫 (崭新出厂) CnyPrice:2600.00}
&{Gid:48892 Gname:锯齿爪刀（★ StatTrak™） | 北方森林 (久经沙场) CnyPrice:1600.00}
&{Gid:383 Gname:Tec-9（StatTrak™） | 战火重燃 (略有磨损) CnyPrice:10.70}
&{Gid:55473 Gname:印花 | NAF | 2018年波士顿锦标赛 CnyPrice:10.00}
&{Gid:60544 Gname:刺刀（★ StatTrak™） | 人工染色 (久经沙场) CnyPrice:1580.00}
&{Gid:62138 Gname:印花 | 死亡之眼（闪亮） CnyPrice:19.90}
&{Gid:102049 Gname:印花 | Astralis（金色）| 2022年安特卫普锦标赛 CnyPrice:61.50}
&{Gid:57409 Gname:折叠刀（★） | 噩梦之夜 (破损不堪) CnyPrice:940.00}
&{Gid:61085 Gname:锯齿爪刀（★ StatTrak™） | 蓝钢 (久经沙场) CnyPrice:2199.00}
&{Gid:47534 Gname:格洛克 18 型（纪念品） | 核子反应 (略有磨损) CnyPrice:175.00}
&{Gid:46787 Gname:沙漠之鹰（StatTrak™） | 纳迦蛇神 (略有磨损) CnyPrice:41.00}
&{Gid:49827 Gname:USP 消音版（StatTrak™） | 血清 (略有磨损) CnyPrice:200.00}
&{Gid:101908 Gname:印花 | BIG（金色）| 2022年安特卫普锦标赛 CnyPrice:14.50}
&{Gid:101302 Gname:印花 | NiKo（金色）| 2021年斯德哥尔摩锦标赛 CnyPrice:451.00}
&{Gid:51095 Gname:封装的涂鸦 | 龙的传人 CnyPrice:40.00}
&{Gid:56592 Gname:熊刀（★） | 多普勒 (略有磨损) CnyPrice:2180.00}
&{Gid:58256 Gname:法玛斯（纪念品） | 湖蓝涂装 (久经沙场) CnyPrice:160.00}
&{Gid:48345 Gname:折刀（★） | 北方森林 (略有磨损) CnyPrice:450.00}
&{Gid:51921 Gname:折叠刀（★） | 狩猎网格 (略有磨损) CnyPrice:810.00}
&{Gid:55191 Gname:骷髅匕首（★ StatTrak™） | 表面淬火 (破损不堪) CnyPrice:3000.00}
&{Gid:44486 Gname:UMP-45（StatTrak™） | 野蛮剑齿虎 (久经沙场) CnyPrice:20.00}
&{Gid:51792 Gname:MAC-10（StatTrak™） | 炽热 (崭新出厂) CnyPrice:78.00}
&{Gid:48007 Gname:印花 | Team LDLC.com（全息）| 2014年科隆锦标赛 CnyPrice:423.00}
&{Gid:47720 Gname:SSG 08（StatTrak™） | 幽灵战士 (破损不堪) CnyPrice:10.00}
&{Gid:48202 Gname:印花 | Titan | 2015年卡托维兹锦标赛 CnyPrice:335.00}
&{Gid:61558 Gname:格洛克 18 型（StatTrak™） | 零食派对 (破损不堪) CnyPrice:35.00}
&{Gid:55778 Gname:M9 刺刀（★ StatTrak™） | 表面淬火 (破损不堪) CnyPrice:3332.00}
&{Gid:57441 Gname:折叠刀（★） | 表面淬火 (崭新出厂) CnyPrice:2297.50}
&{Gid:48537 Gname:P90（StatTrak™） | 往日行动 (久经沙场) CnyPrice:60.00}
&{Gid:61545 Gname:双持贝瑞塔（StatTrak™） | 胶面花纹 (崭新出厂) CnyPrice:15.79}
&{Gid:61696 Gname:MAC-10 | 凝视之眼 (略有磨损) CnyPrice:64.00}
&{Gid:54515 Gname:USP 消音版（StatTrak™） | 倒吊人 (崭新出厂) CnyPrice:899.00}
&{Gid:43678 Gname:M4A1 消音型（StatTrak™） | 暴怒野兽 (久经沙场) CnyPrice:251.00}
&{Gid:48199 Gname:新星（纪念品） | 绿苹果 (崭新出厂) CnyPrice:39.99}
&{Gid:49465 Gname:CZ75（StatTrak™） | 毒镖 (久经沙场) CnyPrice:30.00}
&{Gid:52065 Gname:MAG-7 | 五指短剑 (崭新出厂) CnyPrice:3130.00}
&{Gid:43353 Gname:P2000 | 绝命密电 (略有磨损) CnyPrice:30.99}
&{Gid:54377 Gname:M4A1 消音型（StatTrak™） | 金蛇缠绕 (破损不堪) CnyPrice:370.00}
&{Gid:49301 Gname:MP5-SD | 探员 (崭新出厂) CnyPrice:19.00}
&{Gid:55332 Gname:狂牙手套（★） | 针尖 (战痕累累) CnyPrice:312.00}
&{Gid:55584 Gname:MP9（StatTrak™） | 爆裂食物链 (崭新出厂) CnyPrice:135.00}
&{Gid:48411 Gname:P90 | 盲点 (崭新出厂) CnyPrice:58.00}
&{Gid:51136 Gname:M4A1 消音型（StatTrak™） | 血虎 (崭新出厂) CnyPrice:77.00}
&{Gid:58134 Gname:锯齿爪刀（★ StatTrak™） | 屠夫 (略有磨损) CnyPrice:3549.00}
&{Gid:49270 Gname:新星（StatTrak™） | 锦鲤 (崭新出厂) CnyPrice:23.00}
&{Gid:44396 Gname:AK-47（StatTrak™） | 迷踪秘境 (崭新出厂) CnyPrice:35.50}
&{Gid:45110 Gname:USP 消音版（StatTrak™） | 铅管 (崭新出厂) CnyPrice:51.80}
&{Gid:59113 Gname:AK-47 | 荒野反叛 (破损不堪) CnyPrice:170.00}
&{Gid:58015 Gname:猎杀者匕首（★） | 蓝钢 (战痕累累) CnyPrice:698.00}
&{Gid:1951 Gname:格洛克 18 型（纪念品） | 地下水 (久经沙场) CnyPrice:20.00}
&{Gid:57750 Gname:蝴蝶刀（★ StatTrak™） | 外表生锈 (破损不堪) CnyPrice:4149.00}
&{Gid:49120 Gname:FN57（StatTrak™） | 怒氓 (崭新出厂) CnyPrice:230.00}
&{Gid:47450 Gname:Tec-9 | 蓝钛 (崭新出厂) CnyPrice:38.00}
